doi,altmetric_score,nsfid,title,project_title
10.1038/sdata.2017.88,980.77,1541029,A global multiproxy database for temperature reconstructions of the Common Era,Earthcube Ia: Collaborative Proposal: Linkedearth: Crowdsourcing Data Curation & Standards Development In Paleoclimatology
10.1002/2017gl074954,918.63,1541390,BedMachine v3: Complete Bed Topography and Ocean Bathymetry Mapping of Greenland From Multibeam Echo Sounding Combined With Mass Conservation,Earthcube Rcn: Collaborative Research: Engaging The Greenland Ice Sheet Ocean (Griso) Science Network
10.1029/2021ef002277,580.65,1740648,Future Global Convective Environments in CMIP6 Models,Collaborative Proposal: Earthcube Integration: Pangeo: An Open Source Big Data Climate Science Platform
10.1038/s41550-020-1147-7,274.68,1743321,Measurement of magnetic field and relativistic electrons along a solar flare current sheet,"Earthcube Rcn: Towards Integration Of Heliophysics Data, Modeling, And Analysis Tools"
10.1038/nbt.4306,170.44,1639588,Minimum Information about an Uncultivated Virus Genome (MIUViG),"Collaborative Proposal: Earthcube Building Blocks: Planet Microbe: Enabling The Discovery And Integration Of Oceanographic Omics, Environmental And Physiochemical Data Layers"
10.1371/journal.pone.0113523,166.65,1343760,A Machine Reading System for Assembling Synthetic Paleontological Databases,Earthcube Building Blocks: A Cognitive Computer Infrastructure For Geoscience
10.1016/j.epsl.2016.12.012,154.72,1440312,Atmospheric oxygenation driven by unsteady growth of the continental sedimentary reservoir,Earthcube Building Blocks Collaborative Proposal: Digital Crust ? An Exploratory Environment For Earth Science Research And Learning
10.1038/s41561-018-0272-8,145.23,1639710,Similarity of fast and slow earthquakes illuminated by machine learning,Earthcube Data Infrastructure: Collaborative Proposal: A Unified Experimental-Natural Digital Data System For Analysis Of Rock Microstructures
10.1126/science.aad7048,142.36,1440351,Liberating field science samples and data,Earthcube Rcn: Isamples: The Internet Of Samples In The Earth Sciences
10.5194/tc-16-1431-2022,107.3,1928406,Glacier geometry and flow speed determine how Arctic marine-terminating glaciers respond to lubricated beds,Collaborative Research: Earthcube Data Capabilities--Jupyter Meets The Earth: Enabling Discovery In Geoscience Through Interactive Computing At Scale
10.1130/g38931.1,104.02,1343760,The rise and fall of stromatolites in shallow marine environments,Earthcube Building Blocks: A Cognitive Computer Infrastructure For Geoscience
10.1007/s40641-018-0107-0,98.45,1541390,Rising Oceans Guaranteed: Arctic Land Ice Loss and Sea Level Rise,Earthcube Rcn: Collaborative Research: Engaging The Greenland Ice Sheet Ocean (Griso) Science Network
10.1016/j.cageo.2022.105034,65.7,2126315,A review of Earth Artificial Intelligence,Earthcube Capabilities: Openmindat - Open Access And Interoperable Mineralogy Data To Broaden Community Access And Advance Geoscience Research
10.1029/2019pa003632,53.63,1541029,PaCTS 1.0: A Crowdsourced Reporting Standard for Paleoclimate Data,Earthcube Ia: Collaborative Proposal: Linkedearth: Crowdsourcing Data Curation & Standards Development In Paleoclimatology
10.1093/nar/gkaa637,40.03,1639588,Planet Microbe: a platform for marine microbiology to discover and analyze interconnected ‘omics and environmental data,"Collaborative Proposal: Earthcube Building Blocks: Planet Microbe: Enabling The Discovery And Integration Of Oceanographic Omics, Environmental And Physiochemical Data Layers"
10.1093/gigascience/giy165,38.1,1639588,Libra: scalable<i>k-</i>mer–based tool for massive all-vs-all metagenome comparisons,"Collaborative Proposal: Earthcube Building Blocks: Planet Microbe: Enabling The Discovery And Integration Of Oceanographic Omics, Environmental And Physiochemical Data Layers"
10.3389/fclim.2021.782909,37.28,1928406,"Pangeo Forge: Crowdsourcing Analysis-Ready, Cloud Optimized Data Production",Collaborative Research: Earthcube Data Capabilities--Jupyter Meets The Earth: Enabling Discovery In Geoscience Through Interactive Computing At Scale
10.1002/2015ea000136,37.27,1440323,Toward the Geoscience Paper of the Future: Best practices for documenting and sharing research from data to software to provenance,Earthcube Building Blocks: Collaborative Proposal: Geosoft: Collaborative Open Source Software Sharing For Geosciences
10.1128/mbio.01318-19,32.3,1541044,Ecological and Genomic Attributes of Novel Bacterial Taxa That Thrive in Subsurface Soil Horizons,Earthcube Ia: Collaborative Proposal: Advancing Biogeoscience Community Standards And Cyberinfrastructure Via Critical Zone Domain Engagement In Synthesis Science
10.1073/pnas.2200014119,28.8,2026933,Microbial functional diversity across biogeochemical provinces in the central Pacific Ocean,Earthcube Data Capabilities: Expanding The Ocean Protein Portal Capabilities For Use In Biochemical Research And Education
10.1017/qua.2017.105,27.8,1540979,"The Neotoma Paleoecology Database, a multiproxy, international, community-curated data resource",Earthcube Ia: Collaborative Proposal: Building Interoperable Cyberinfrastructure (Ci) At The Interface Between Paleogeoinformatics And Bioinformatics
