cites,citation
388,"Yang, C., Q. Huang, Z. Li, K. Liu, and F. Hu, 2016: Big Data and cloud computing: innovation opportunities and challenges. International Journal of Digital Earth, 10, 13–53, https://doi.org/10.1080/17538947.2016.1239771."
364,"Morlighem, M., and Coauthors, 2017: BedMachine v3: Complete Bed Topography and Ocean Bathymetry Mapping of Greenland From Multibeam Echo Sounding Combined With Mass Conservation. Geophysical Research Letters, 44, https://doi.org/10.1002/2017gl074954."
247,"Roux, S., and Coauthors, 2018: Minimum Information about an Uncultivated Virus Genome (MIUViG). Nature Biotechnology, 37, 29–37, https://doi.org/10.1038/nbt.4306."
192,"2017: A global multiproxy database for temperature reconstructions of the Common Era. Scientific Data, 4, https://doi.org/10.1038/sdata.2017.88."
145,"Cervone, G., L. Clemente-Harding, S. Alessandrini, and L. Delle Monache, 2017: Short-term photovoltaic power forecasting using Artificial Neural Networks and an Analog Ensemble. Renewable Energy, 108, 274–286, https://doi.org/10.1016/j.renene.2017.02.052."
143,"Williams, J. W., and Coauthors, 2018: The Neotoma Paleoecology Database, a multiproxy, international, community-curated data resource. Quaternary Research, 89, 156–177, https://doi.org/10.1017/qua.2017.105."
115,"Yang, C., M. Yu, F. Hu, Y. Jiang, and Y. Li, 2017: Utilizing Cloud Computing to address big geospatial data challenges. Computers, Environment and Urban Systems, 61, 120–128, https://doi.org/10.1016/j.compenvurbsys.2016.10.010."
102,"Farley, S. S., A. Dawson, S. J. Goring, and J. W. Williams, 2018: Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions. BioScience, 68, 563–576, https://doi.org/10.1093/biosci/biy068."
98,"Gil, Y., and Coauthors, 2016: Toward the Geoscience Paper of the Future: Best practices for documenting and sharing research from data to software to provenance. Earth and Space Science, 3, 388–415, https://doi.org/10.1002/2015ea000136."
79,"Radcliffe, D. E., and Coauthors, 2015: Applicability of Models to Predict Phosphorus Losses in Drained Fields: A Review. Journal of Environmental Quality, 44, 614–628, https://doi.org/10.2134/jeq2014.05.0220."
77,"Maidment, D. R., 2016: Conceptual Framework for the National Flood Interoperability Experiment. JAWRA Journal of the American Water Resources Association, 53, 245–257, https://doi.org/10.1111/1752-1688.12474."
74,"Bromwich, D. H., and Coauthors, 2018: The Arctic System Reanalysis, Version 2. Bulletin of the American Meteorological Society, 99, 805–828, https://doi.org/10.1175/bams-d-16-0215.1."
69,"Hulbert, C., B. Rouet-Leduc, P. A. Johnson, C. X. Ren, J. Rivière, D. C. Bolton, and C. Marone, 2018: Similarity of fast and slow earthquakes illuminated by machine learning. Nature Geoscience, 12, 69–74, https://doi.org/10.1038/s41561-018-0272-8."
66,"Brewer, T. E., and Coauthors, 2019: Ecological and Genomic Attributes of Novel Bacterial Taxa That Thrive in Subsurface Soil Horizons. mBio, 10, https://doi.org/10.1128/mbio.01318-19."
60,"Sun, Z., L. Di, and H. Fang, 2018: Using long short-term memory recurrent neural network in land cover classification on Landsat and Cropland data layer time series. International Journal of Remote Sensing, 40, 593–614, https://doi.org/10.1080/01431161.2018.1516313."
57,"Peters, S. E., J. M. Husson, and J. Wilcots, 2017: The rise and fall of stromatolites in shallow marine environments. Geology, 45, 487–490, https://doi.org/10.1130/g38931.1."
56,"Chen, B., and Coauthors, 2020: Measurement of magnetic field and relativistic electrons along a solar flare current sheet. Nature Astronomy, 4, 1140–1147, https://doi.org/10.1038/s41550-020-1147-7."
