cites,citation
388,"Yang, C., Q. Huang, Z. Li, K. Liu, and F. Hu, 2016: Big Data and cloud computing: innovation opportunities and challenges. International Journal of Digital Earth, 10, 13–53, https://doi.org/10.1080/17538947.2016.1239771."
364,"Morlighem, M., and Coauthors, 2017: BedMachine v3: Complete Bed Topography and Ocean Bathymetry Mapping of Greenland From Multibeam Echo Sounding Combined With Mass Conservation. Geophysical Research Letters, 44, https://doi.org/10.1002/2017gl074954."
247,"Roux, S., and Coauthors, 2018: Minimum Information about an Uncultivated Virus Genome (MIUViG). Nature Biotechnology, 37, 29–37, https://doi.org/10.1038/nbt.4306."
192,"2017: A global multiproxy database for temperature reconstructions of the Common Era. Scientific Data, 4, https://doi.org/10.1038/sdata.2017.88."
145,"Cervone, G., L. Clemente-Harding, S. Alessandrini, and L. Delle Monache, 2017: Short-term photovoltaic power forecasting using Artificial Neural Networks and an Analog Ensemble. Renewable Energy, 108, 274–286, https://doi.org/10.1016/j.renene.2017.02.052."
143,"Williams, J. W., and Coauthors, 2018: The Neotoma Paleoecology Database, a multiproxy, international, community-curated data resource. Quaternary Research, 89, 156–177, https://doi.org/10.1017/qua.2017.105."
115,"Yang, C., M. Yu, F. Hu, Y. Jiang, and Y. Li, 2017: Utilizing Cloud Computing to address big geospatial data challenges. Computers, Environment and Urban Systems, 61, 120–128, https://doi.org/10.1016/j.compenvurbsys.2016.10.010."
102,"Farley, S. S., A. Dawson, S. J. Goring, and J. W. Williams, 2018: Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions. BioScience, 68, 563–576, https://doi.org/10.1093/biosci/biy068."
98,"Gil, Y., and Coauthors, 2016: Toward the Geoscience Paper of the Future: Best practices for documenting and sharing research from data to software to provenance. Earth and Space Science, 3, 388–415, https://doi.org/10.1002/2015ea000136."
79,"Radcliffe, D. E., and Coauthors, 2015: Applicability of Models to Predict Phosphorus Losses in Drained Fields: A Review. Journal of Environmental Quality, 44, 614–628, https://doi.org/10.2134/jeq2014.05.0220."
