DOI,Cites,Citation
10.1080/17538947.2016.1239771,368.0,"Yang, C., Huang, Q., Li, Z., Liu, K., & Hu, F. (2016). Big Data and cloud computing: innovation opportunities and challenges. International Journal of Digital Earth, 10(1), 13–53. https://doi.org/10.1080/17538947.2016.1239771"
10.1002/2017GL074954,354.0,"Morlighem, M., Williams, C. N., Rignot, E., An, L., Arndt, J. E., Bamber, J. L., Catania, G., Chauché, N., Dowdeswell, J. A., Dorschel, B., Fenty, I., Hogan, K., Howat, I., Hubbard, A., Jakobsson, M., Jordan, T. M., Kjeldsen, K. K., Millan, R., Mayer, L., … Zinglersen, K. B. (2017). BedMachine v3: Complete Bed Topography and Ocean Bathymetry Mapping of Greenland From Multibeam Echo Sounding Combined With Mass Conservation. Geophysical Research Letters, 44(21). Portico. https://doi.org/10.1002/2017gl074954"
10.1038/nbt.4306,228.0,"Roux, S., Adriaenssens, E. M., Dutilh, B. E., Koonin, E. V., Kropinski, A. M., Krupovic, M., Kuhn, J. H., Lavigne, R., Brister, J. R., Varsani, A., Amid, C., Aziz, R. K., Bordenstein, S. R., Bork, P., Breitbart, M., Cochrane, G. R., Daly, R. A., Desnues, C., Duhaime, M. B., … Eloe-Fadrosh, E. A. (2018). Minimum Information about an Uncultivated Virus Genome (MIUViG). Nature Biotechnology, 37(1), 29–37. https://doi.org/10.1038/nbt.4306"
10.1038/sdata.2017.88,181.0,"(2017). A global multiproxy database for temperature reconstructions of the Common Era. Scientific Data, 4(1). https://doi.org/10.1038/sdata.2017.88"
10.1016/j.renene.2017.02.052,139.0,"Cervone, G., Clemente-Harding, L., Alessandrini, S., & Delle Monache, L. (2017). Short-term photovoltaic power forecasting using Artificial Neural Networks and an Analog Ensemble. Renewable Energy, 108, 274–286. https://doi.org/10.1016/j.renene.2017.02.052"
10.1017/qua.2017.105,134.0,"Williams, J. W., Grimm, E. C., Blois, J. L., Charles, D. F., Davis, E. B., Goring, S. J., Graham, R. W., Smith, A. J., Anderson, M., Arroyo-Cabrales, J., Ashworth, A. C., Betancourt, J. L., Bills, B. W., Booth, R. K., Buckland, P. I., Curry, B. B., Giesecke, T., Jackson, S. T., Latorre, C., … Takahara, H. (2018). The Neotoma Paleoecology Database, a multiproxy, international, community-curated data resource. Quaternary Research, 89(1), 156–177. https://doi.org/10.1017/qua.2017.105"
10.1016/j.compenvurbsys.2016.10.010,111.0,"Yang, C., Yu, M., Hu, F., Jiang, Y., & Li, Y. (2017). Utilizing Cloud Computing to address big geospatial data challenges. Computers, Environment and Urban Systems, 61, 120–128. https://doi.org/10.1016/j.compenvurbsys.2016.10.010"
10.1002/2015EA000136,93.0,"Gil, Y., David, C. H., Demir, I., Essawy, B. T., Fulweiler, R. W., Goodall, J. L., Karlstrom, L., Lee, H., Mills, H. J., Oh, J., Pierce, S. A., Pope, A., Tzeng, M. W., Villamizar, S. R., & Yu, X. (2016). Toward the Geoscience Paper of the Future: Best practices for documenting and sharing research from data to software to provenance. Earth and Space Science, 3(10), 388–415. Portico. https://doi.org/10.1002/2015ea000136"
10.1093/biosci/biy068,89.0,"Farley, S. S., Dawson, A., Goring, S. J., & Williams, J. W. (2018). Situating Ecology as a Big-Data Science: Current Advances, Challenges, and Solutions. BioScience, 68(8), 563–576. https://doi.org/10.1093/biosci/biy068"
10.2134/jeq2014.05.0220,78.0,"Radcliffe, D. E., Reid, D. K., Blombäck, K., Bolster, C. H., Collick, A. S., Easton, Z. M., Francesconi, W., Fuka, D. R., Johnsson, H., King, K., Larsbo, M., Youssef, M. A., Mulkey, A. S., Nelson, N. O., Persson, K., Ramirez-Avila, J. J., Schmieder, F., & Smith, D. R. (2015). Applicability of Models to Predict Phosphorus Losses in Drained Fields: A Review. Journal of Environmental Quality, 44(2), 614–628. Portico. https://doi.org/10.2134/jeq2014.05.0220"
